PID,차량번호,이전차량번호,차량명,세부 모델,색상,주행거리,최초등록일,홈페이지상태,경과일수(매입일기준),매입유형1,매입유형2,매입유형3,매입담당자,최종수정일,신차가,매입가,지점판매가,할인,할인적용가,예상매출이익,신차가대비,담당자명,RB상담수,E상담수,E URL,RB조회수,RB찜수,E조회수,E찜수,자사몰광고,E광고,지점
C26070710079,133가6668,133가6668,GLC클래스,GLC 300e 4매틱 ,흰색,60798,2022-07-22,판매중,29,선물,선물,MG캐피탈,박종만,2026-07-28,79700000,43780000.0,40000000,0,40000000,-3436364.0,50.0,김동기,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42448286,0,0,,,X,O,중앙특판지점
C26071000019,243고5535,126하5836,더 뉴싼타페 하이브리드,1.6 HEV 2WD 프레스티지,흰색,72997,2022-10-05,판매중,29,위탁매입,위탁매입,MG캐피탈,김태훈,2026-07-20,42950000,24280000.0,26900000,0,26900000,2381818.0,63.0,이필성,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42404930,8,0,,,O,O,청라지점
C26071000024,172하4299,172하4299,아반떼(CN7),1.6 LPI 렌터카 스마트,흰색,66035,2022-07-08,판매중,29,위탁,위탁,레드캡투어,박범수,2026-08-11,19170000,,13600000,0,13600000,,71.0,김나현,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42416535,10,0,,,O,O,청라지점
C26070700053,58다2046,58다2046,신형 싼타페,2.0T GDi 2WD 프리미엄,진회색,32434,2019-06-27,판매중,29,위탁,위탁,현대캐피탈(직),김태훈,2026-07-20,28950000,,19500000,0,19500000,,67.0,최진영,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42444967,7,0,,,O,O,김포지점
C26080300046,351모6071,220호8013,신형 카니발(KA4),리무진 7인승 디젤 노블레스,,55768,2023-08-25,판매중,29,위탁매입,위탁매입,하나캐피탈,김영욱,2026-07-16,47240000,30200000.0,30200000,0,30200000,0.0,64.0,한재근,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42445558,7,0,,,O,O,동대구지점
C26062900032,126호7721,126호7721,신형쏘렌토(MQ4),2.2 디젤 4WD 시그니처,진회색,21442,2021-06-29,판매중,29,위탁,위탁,하나캐피탈,김영욱,2026-07-16,44600000,,29800000,0,29800000,,67.0,이민형,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42408193,5,1,,,O,O,동대구지점
C26062600076,166너9331,166너9331,E클래스(5세대),E350 4매틱 AMG 라인,흰색,46493,2022-07-27,판매중,29,위탁,위탁,하나캐피탈,김영욱,2026-07-16,89200000,,43800000,0,43800000,,49.0,신광우,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42436110,6,1,,,O,O,광주지점
C26063000015,126하8523,126하8523,더 올뉴투싼,1.6 터보 2WD 모던,흰색,44068,2022-06-29,판매중,29,위탁,위탁,하나캐피탈,김영욱,2026-07-16,28200000,,19600000,0,19600000,,70.0,박선우,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42437426,7,0,,,O,O,부산지점
C26063000030,197호2543,197호2543,GV80,3.5 가솔린 AWD 기본형,,58081,2022-07-13,판매중,29,위탁,위탁,하나캐피탈,김영욱,2026-07-16,89500000,,47300000,0,47300000,,53.0,이재국,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42408662,8,1,,,O,O,광주지점
C26062500015,220호8518,220호8518,신형 K5(DL3),2.0 가솔린 프레스티지,흰색,49699,2023-09-11,판매중,29,위탁,위탁,하나캐피탈,김영욱,2026-07-16,28380000,,32800000,0,32800000,,116.0,김병현,0,0,http://www.encar.com/dc/dc_cardetailview.do?pageid=dc_carsearch&listAdvType=normal&carid=42418521,3,1,,,O,O,부산지점
